# VERA format data — G3 normal PR
# Source: RA=6.166667h Dec=20.500000d
# DOY        RA(mas)       dRA(mas)      Dec(mas)      dDec(mas) SPOT CH      VLSR
   74.0000     5.606800   0.020200     2.481800   0.020200    3  1  -35.840
  152.0000     5.465800   0.020000     2.697900   0.020000    3  1  -35.840
  232.0000     5.632500   0.020000     2.873900   0.020000    3  1  -35.840
  314.0000     5.130900   0.020000     3.084300   0.020000    3  1  -35.840
   25.0000     4.103800   0.020000     3.347600   0.020000    3  1  -35.840
  105.0000     3.446100   0.020000     3.564200   0.020000    3  1  -35.840
   74.0000     5.584200   0.006700     2.476600   0.006700    3  2  -35.420
  152.0000     5.472600   0.006700     2.721600   0.006700    3  2  -35.420
  232.0000     5.639200   0.006700     2.910100   0.006700    3  2  -35.420
  314.0000     5.143800   0.006700     3.092000   0.006700    3  2  -35.420
   25.0000     4.104600   0.006700     3.299500   0.006700    3  2  -35.420
  105.0000     3.458800   0.006700     3.555700   0.006700    3  2  -35.420
   74.0000     5.617600   0.003000     2.459400   0.003000    3  3  -35.000
  152.0000     5.482400   0.003000     2.741100   0.003000    3  3  -35.000
  232.0000     5.641200   0.003000     2.926000   0.003000    3  3  -35.000
  314.0000     5.150200   0.003000     3.103400   0.003000    3  3  -35.000
   25.0000     4.094200   0.003000     3.337800   0.003000    3  3  -35.000
  105.0000     3.396700   0.003000     3.560400   0.003000    3  3  -35.000
   74.0000     5.610400   0.005000     2.492200   0.005000    3  4  -34.580
  152.0000     5.530300   0.005000     2.652100   0.005000    3  4  -34.580
  232.0000     5.627100   0.005000     2.896300   0.005000    3  4  -34.580
  314.0000     5.055700   0.005000     3.148800   0.005000    3  4  -34.580
   25.0000     4.014500   0.005000     3.315400   0.005000    3  4  -34.580
  105.0000     3.430900   0.005000     3.524400   0.005000    3  4  -34.580
   74.0000     5.560300   0.030000     2.432100   0.030000    3  5  -34.160
  152.0000     5.412900   0.030100     2.735800   0.030100    3  5  -34.160
  232.0000     5.644300   0.030000     2.988700   0.030000    3  5  -34.160
  314.0000     5.038100   0.030000     3.110000   0.030000    3  5  -34.160
   25.0000     4.123400   0.030000     3.461100   0.030000    3  5  -34.160
  105.0000     3.561600   0.030000     3.565200   0.030000    3  5  -34.160
