# KaDai format — G4 inverse PR
# RA(h)=6.16666667 Dec(d)=20.50000000
# Columns: DOY  RA(mas)  dRA  Dec(mas)  dDec  SPOT_ID
   74.0000     2.675600   0.100000   -10.963200   0.100000    1
  152.0000     2.544400   0.100000   -10.414500   0.100000    1
  232.0000     2.614600   0.100000   -10.212400   0.100000    1
  314.0000     1.994700   0.100000    -9.998300   0.100000    1
   25.0000     1.000700   0.107200    -9.448700   0.107200    1
  105.0000     0.214600   0.103400    -8.985700   0.103400    1
   74.0000     2.757500   0.020000   -10.992700   0.020000    2
  152.0000     2.554500   0.020000   -10.557900   0.020000    2
  232.0000     2.644800   0.020100   -10.156000   0.020100    2
  314.0000     2.013800   0.020000    -9.896300   0.020000    2
   25.0000     1.008000   0.020000    -9.519700   0.020000    2
  105.0000     0.319700   0.020000    -9.059400   0.020000    2
   74.0000     2.784100   0.010000   -10.958300   0.010000    3
  152.0000     2.583800   0.010000   -10.597800   0.010000    3
  232.0000     2.684500   0.010000   -10.117600   0.010000    3
  314.0000     2.027200   0.010000    -9.888100   0.010000    3
   25.0000     1.009200   0.010000    -9.533400   0.010000    3
  105.0000     0.323200   0.010000    -9.048500   0.010000    3
   74.0000     2.765700   0.012500   -10.886000   0.012500    4
  152.0000     2.548900   0.012500   -10.583700   0.012500    4
  232.0000     2.698100   0.012500   -10.155100   0.012500    4
  314.0000     2.053400   0.012500    -9.880500   0.012500    4
   25.0000     1.034700   0.012500    -9.501100   0.012500    4
  105.0000     0.329900   0.012500    -9.022900   0.012500    4
   74.0000     2.653800   0.051500   -11.058600   0.051500    5
  152.0000     2.565000   0.050000   -10.564800   0.050000    5
  232.0000     2.748300   0.050500   -10.100900   0.050500    5
  314.0000     2.148800   0.050000    -9.862700   0.050000    5
   25.0000     0.866400   0.051300    -9.451200   0.051300    5
  105.0000     0.519900   0.051500    -9.046500   0.051500    5
