# KaDai format — G2 normal PR
# RA(h)=6.16666667 Dec(d)=20.50000000
# Columns: DOY  RA(mas)  dRA  Dec(mas)  dDec  SPOT_ID
   74.0000    -7.674700   0.020000     5.639200   0.020000    1
  152.0000    -7.705000   0.020000     5.790700   0.020000    1
  232.0000    -7.432100   0.020000     5.933200   0.020000    1
  314.0000    -7.791500   0.020000     6.037200   0.020000    1
   25.0000    -8.732800   0.020000     6.239600   0.020000    1
  105.0000    -9.275800   0.020000     6.402800   0.020000    1
   74.0000    -7.687900   0.006000     5.625000   0.006000    2
  152.0000    -7.697600   0.006000     5.794400   0.006000    2
  232.0000    -7.414700   0.006000     5.930500   0.006000    2
  314.0000    -7.800700   0.006000     6.067900   0.006000    2
   25.0000    -8.787100   0.006000     6.183300   0.006000    2
  105.0000    -9.291500   0.006000     6.376100   0.006000    2
   74.0000    -7.714900   0.040000     5.675600   0.040000    3
  152.0000    -7.778200   0.041100     5.769600   0.041100    3
  232.0000    -7.404200   0.041300     5.952300   0.041300    3
  314.0000    -7.827300   0.040000     6.009100   0.040000    3
   25.0000    -8.717500   0.040600     6.154600   0.040600    3
  105.0000    -9.272100   0.040500     6.433900   0.040500    3
