# KaDai format — G3 inverse PR
# RA(h)=6.16666667 Dec(d)=20.50000000
# Columns: DOY  RA(mas)  dRA  Dec(mas)  dDec  SPOT_ID
   74.0000     5.596400   0.020200     2.454600   0.020200    1
  152.0000     5.408600   0.020000     2.658800   0.020000    1
  232.0000     5.617200   0.020000     2.955800   0.020000    1
  314.0000     5.127600   0.020000     3.003000   0.020000    1
   25.0000     4.072200   0.020000     3.268500   0.020000    1
  105.0000     3.473400   0.020000     3.527100   0.020000    1
   74.0000     5.625700   0.006700     2.483200   0.006700    2
  152.0000     5.464900   0.006700     2.688700   0.006700    2
  232.0000     5.631200   0.006700     2.986300   0.006700    2
  314.0000     5.084200   0.006700     3.008500   0.006700    2
   25.0000     4.148000   0.006700     3.249300   0.006700    2
  105.0000     3.473400   0.006700     3.518600   0.006700    2
   74.0000     5.601900   0.003000     2.460000   0.003000    3
  152.0000     5.468000   0.003000     2.702200   0.003000    3
  232.0000     5.647900   0.003000     2.930200   0.003000    3
  314.0000     5.108400   0.003000     3.038600   0.003000    3
   25.0000     4.121800   0.003000     3.250900   0.003000    3
  105.0000     3.445200   0.003000     3.537000   0.003000    3
   74.0000     5.601000   0.005000     2.476000   0.005000    4
  152.0000     5.485200   0.005000     2.708500   0.005000    4
  232.0000     5.648100   0.005000     2.908100   0.005000    4
  314.0000     5.134700   0.005000     3.100900   0.005000    4
   25.0000     4.106100   0.005000     3.316400   0.005000    4
  105.0000     3.468800   0.005000     3.569700   0.005000    4
   74.0000     5.509600   0.030000     2.487600   0.030000    5
  152.0000     5.454900   0.030200     2.744200   0.030200    5
  232.0000     5.716800   0.030100     2.959700   0.030100    5
  314.0000     5.101400   0.030000     2.923200   0.030000    5
   25.0000     4.210000   0.030300     3.322800   0.030300    5
  105.0000     3.500900   0.030500     3.479400   0.030500    5
