# KaDai format — G1 inverse PR
# RA(h)=6.16666667 Dec(d)=20.50000000
# Columns: DOY  RA(mas)  dRA  Dec(mas)  dDec  SPOT_ID
   74.0000    -3.481100   0.060000    -5.622400   0.060000    1
  152.0000    -3.572200   0.060000    -5.402000   0.060000    1
  314.0000    -3.898600   0.060000    -5.098200   0.060000    1
   25.0000    -4.795500   0.060000    -4.686300   0.060000    1
   74.0000    -3.510800   0.015000    -5.576300   0.015000    2
  152.0000    -3.610500   0.015000    -5.371700   0.015000    2
  314.0000    -3.863000   0.015000    -4.989300   0.015000    2
   25.0000    -4.772600   0.015000    -4.696500   0.015000    2
   74.0000    -3.439200   0.037600    -5.656600   0.037600    3
  152.0000    -3.598500   0.037500    -5.328100   0.037500    3
  314.0000    -3.923900   0.037500    -5.045200   0.037500    3
   25.0000    -4.895800   0.037500    -4.714000   0.037500    3
