# KaDai format — G1 normal PR
# RA(h)=6.16666667 Dec(d)=20.50000000
# Columns: DOY  RA(mas)  dRA  Dec(mas)  dDec  SPOT_ID
   74.0000    -3.555000   0.060200    -5.646800   0.060200    1
  152.0000    -3.610900   0.060000    -5.323600   0.060000    1
  314.0000    -3.827600   0.060000    -4.932100   0.060000    1
   25.0000    -4.878900   0.060000    -4.738000   0.060000    1
   74.0000    -3.519300   0.015000    -5.556600   0.015000    2
  152.0000    -3.624700   0.015000    -5.322200   0.015000    2
  314.0000    -3.843700   0.015000    -4.938200   0.015000    2
   25.0000    -4.861700   0.015000    -4.652200   0.015000    2
   74.0000    -3.563900   0.037500    -5.609000   0.037500    3
  152.0000    -3.496000   0.037500    -5.304600   0.037500    3
  314.0000    -3.860100   0.037500    -4.835800   0.037500    3
   25.0000    -4.809400   0.037500    -4.659200   0.037500    3
