# csad output (synthetic — normal PR)
# Beam: 1.80 x 0.80 mas, PA = -20.0 deg
# Channel spacing: 0.420 km/s
# N_stations: 4
#         vlsr             x         x_err             y         y_err             I         I_err             S         S_err          bmaj      bmaj_err          bmin      bmin_err            pa        pa_err           rms
      -50.4200       -3.8276        0.0600       -4.9321        0.0600        0.5191        0.0500        0.4843        0.0500        1.7656        0.0360        0.8130        0.0160      -18.4741        2.0000        0.0500
      -50.0000       -3.8437        0.0150       -4.9382        0.0150        2.0035        0.0500        1.9644        0.0500        1.8241        0.0360        0.7806        0.0160      -22.5653        2.0000        0.0500
      -49.5800       -3.8601        0.0375       -4.8358        0.0375        0.7934        0.0500        0.8008        0.0500        1.8145        0.0360        0.7851        0.0160      -19.0577        2.0000        0.0500
      -42.6300       -7.7915        0.0200        6.0372        0.0200        1.4867        0.0500        1.5334        0.0500        1.7897        0.0360        0.8337        0.0160      -20.8851        2.0000        0.0500
      -42.2100       -7.8007        0.0060        6.0679        0.0060        4.9946        0.0500        4.9765        0.0500        1.7758        0.0360        0.8109        0.0160      -23.1315        2.0000        0.0500
      -41.7900       -7.7951        0.0086        6.0199        0.0086        3.4882        0.0500        3.4578        0.0500        1.7554        0.0360        0.8059        0.0160      -20.3585        2.0000        0.0500
      -41.3700       -7.8273        0.0400        6.0091        0.0400        0.7606        0.0500        0.7666        0.0500        1.8208        0.0360        0.8134        0.0160      -19.4072        2.0000        0.0500
      -35.8400        5.1309        0.0200        3.0843        0.0200        1.5160        0.0500        1.4715        0.0500        1.8003        0.0360        0.8623        0.0160      -19.5538        2.0000        0.0500
      -35.4200        5.1438        0.0067        3.0920        0.0067        4.4974        0.0500        4.4805        0.0500        1.8232        0.0360        0.7796        0.0160      -18.6688        2.0000        0.0500
      -35.0000        5.1502        0.0030        3.1034        0.0030        9.9954        0.0500       10.0234        0.0500        1.7011        0.0360        0.7919        0.0160      -23.9816        2.0000        0.0500
      -35.0000        7.4357        0.1000        1.3451        0.1000        1.6052        0.0500        1.0847        0.0500        3.4145        0.0900        0.4835        0.0400       18.2399        5.0000        0.0500
      -35.0000        2.9517        0.1000        1.7020        0.1000        1.2757        0.0500        1.1293        0.0500        3.4571        0.0900        0.4450        0.0400      -11.3066        5.0000        0.0500
      -34.5800        5.0557        0.0050        3.1488        0.0050        5.9775        0.0500        5.9259        0.0500        1.7707        0.0360        0.8581        0.0160      -19.1302        2.0000        0.0500
      -34.1600        5.0381        0.0300        3.1100        0.0300        1.0015        0.0500        0.9978        0.0500        1.8427        0.0360        0.8083        0.0160      -18.6633        2.0000        0.0500
      -28.8400        2.0533        0.1000       -9.8923        0.1000        0.2845        0.0500        0.2689        0.0500        1.7520        0.0360        0.7983        0.0160      -19.3314        2.0000        0.0500
      -28.4200        2.1027        0.0200       -9.8136        0.0200        1.4976        0.0500        1.4837        0.0500        1.8296        0.0360        0.8045        0.0160      -22.8963        2.0000        0.0500
      -28.0000        2.0729        0.0100       -9.8072        0.0100        2.9782        0.0500        3.0334        0.0500        1.8674        0.0360        0.7939        0.0160      -19.2731        2.0000        0.0500
      -27.5800        1.9719        0.0125       -9.8824        0.0125        2.4107        0.0500        2.4499        0.0500        1.7365        0.0360        0.7799        0.0160      -19.5291        2.0000        0.0500
      -27.1600        2.1931        0.0500       -9.7992        0.0500        0.5752        0.0500        0.5680        0.0500        1.7771        0.0360        0.7875        0.0160      -18.3748        2.0000        0.0500
