# csad output (synthetic — inverse PR)
# Beam: 1.80 x 0.80 mas, PA = -20.0 deg
# Channel spacing: 0.420 km/s
# N_stations: 4
#         vlsr             x         x_err             y         y_err             I         I_err             S         S_err          bmaj      bmaj_err          bmin      bmin_err            pa        pa_err           rms
      -42.6300      -13.0370        0.0200        3.0179        0.0200        1.4864        0.0500        1.4528        0.0500        1.8219        0.0360        0.8055        0.0160      -18.5375        2.0000        0.0500
      -42.2100      -13.0353        0.0060        3.0263        0.0060        5.0016        0.0500        5.0088        0.0500        1.8139        0.0360        0.7533        0.0160      -17.5291        2.0000        0.0500
      -41.7900      -13.0386        0.0086        3.0047        0.0086        3.5048        0.0500        3.4914        0.0500        1.7390        0.0360        0.8474        0.0160      -16.9103        2.0000        0.0500
      -41.3700      -13.0718        0.0400        3.0311        0.0400        0.7570        0.0500        0.7473        0.0500        1.7981        0.0360        0.8045        0.0160      -22.2873        2.0000        0.0500
      -35.8400       -0.0076        0.0200        0.0112        0.0200        1.5020        0.0500        1.5009        0.0500        1.7199        0.0360        0.7999        0.0160      -22.0217        2.0000        0.0500
      -35.4200        0.0064        0.0067        0.0417        0.0067        4.5151        0.0500        4.4712        0.0500        1.8382        0.0360        0.7924        0.0160      -20.8797        2.0000        0.0500
      -35.0000        0.0231        0.0030       -0.0144        0.0030       10.0193        0.0500       10.0017        0.0500        1.8360        0.0360        0.7660        0.0160      -20.2030        2.0000        0.0500
      -35.0000        0.1226        0.1000       -1.9844        0.1000        1.5352        0.0500        1.2024        0.0500        3.2113        0.0900        0.6114        0.0400       -4.5767        5.0000        0.0500
      -35.0000        2.4930        0.1000        1.9173        0.1000        1.1563        0.0500        1.1290        0.0500        3.0346        0.0900        0.5975        0.0400      -36.3000        5.0000        0.0500
      -34.5800        0.0233        0.0050       -0.0365        0.0050        6.0043        0.0500        6.0296        0.0500        1.8683        0.0360        0.7708        0.0160      -21.3105        2.0000        0.0500
      -34.1600        0.0920        0.0300        0.0151        0.0300        0.9877        0.0500        0.9811        0.0500        1.7317        0.0360        0.8089        0.0160      -21.2105        2.0000        0.0500
      -28.8400       -3.0102        0.1000      -13.1570        0.1000        0.3318        0.0500        0.3285        0.0500        1.6747        0.0360        0.7975        0.0160      -22.0400        2.0000        0.0500
      -28.4200       -2.9800        0.0200      -13.1006        0.0200        1.4806        0.0500        1.4728        0.0500        1.6888        0.0360        0.7978        0.0160      -19.4632        2.0000        0.0500
      -28.0000       -2.9403        0.0100      -13.0622        0.0100        3.0321        0.0500        2.9768        0.0500        1.7267        0.0360        0.7889        0.0160      -19.6109        2.0000        0.0500
      -27.5800       -2.9267        0.0125      -13.0997        0.0125        2.3932        0.0500        2.3733        0.0500        1.7507        0.0360        0.8031        0.0160      -23.5353        2.0000        0.0500
      -27.1600       -2.8765        0.0500      -13.0455        0.0500        0.5887        0.0500        0.6015        0.0500        1.7952        0.0360        0.8114        0.0160      -15.1153        2.0000        0.0500
