# csad output (synthetic — inverse PR)
# Beam: 1.80 x 0.80 mas, PA = -20.0 deg
# Channel spacing: 0.420 km/s
# N_stations: 4
#         vlsr             x         x_err             y         y_err             I         I_err             S         S_err          bmaj      bmaj_err          bmin      bmin_err            pa        pa_err           rms
      -50.4200       -8.9943        0.0600       -8.1156        0.0600        0.5091        0.0500        0.4821        0.0500        1.8340        0.0360        0.8082        0.0160      -22.4336        2.0000        0.0500
      -50.0000       -8.9587        0.0150       -8.0067        0.0150        2.0069        0.0500        1.9727        0.0500        1.8426        0.0360        0.8029        0.0160      -20.3974        2.0000        0.0500
      -49.5800       -9.0196        0.0375       -8.0626        0.0375        0.8044        0.0500        0.7761        0.0500        1.7818        0.0360        0.7784        0.0160      -20.7475        2.0000        0.0500
      -42.6300      -12.9218        0.0200        2.9677        0.0200        1.5145        0.0500        1.5052        0.0500        1.7988        0.0360        0.7807        0.0160      -20.9373        2.0000        0.0500
      -42.2100      -12.9457        0.0060        2.9779        0.0060        5.0046        0.0500        4.9723        0.0500        1.8805        0.0360        0.7596        0.0160      -19.2043        2.0000        0.0500
      -41.7900      -12.9516        0.0086        3.0028        0.0086        3.5151        0.0500        3.4496        0.0500        1.8453        0.0360        0.7990        0.0160      -21.8139        2.0000        0.0500
      -41.3700      -12.8903        0.0400        3.0122        0.0400        0.7561        0.0500        0.7413        0.0500        1.8305        0.0360        0.7554        0.0160      -26.7566        2.0000        0.0500
      -35.8400        0.0319        0.0200       -0.0144        0.0200        1.4997        0.0500        1.5310        0.0500        1.8158        0.0360        0.8016        0.0160      -18.7658        2.0000        0.0500
      -35.4200       -0.0115        0.0067       -0.0089        0.0067        4.5069        0.0500        4.5023        0.0500        1.7303        0.0360        0.8102        0.0160      -17.4025        2.0000        0.0500
      -35.0000        0.0127        0.0030        0.0212        0.0030        9.9932        0.0500        9.9874        0.0500        1.7666        0.0360        0.8142        0.0160      -18.8929        2.0000        0.0500
      -35.0000       -1.6839        0.1000        0.9475        0.1000        1.7422        0.0500        1.7993        0.0500        3.5826        0.0900        0.4740        0.0400      -12.4603        5.0000        0.0500
      -35.0000       -2.8027        0.1000       -2.2662        0.1000        0.9779        0.0500        1.5842        0.0500        3.0364        0.0900        0.5069        0.0400      -33.4706        5.0000        0.0500
      -34.5800        0.0390        0.0050        0.0835        0.0050        6.0027        0.0500        5.9597        0.0500        1.7429        0.0360        0.8113        0.0160      -20.8743        2.0000        0.0500
      -34.1600        0.0057        0.0300       -0.0942        0.0300        1.0028        0.0500        1.0048        0.0500        1.7123        0.0360        0.8265        0.0160      -22.5291        2.0000        0.0500
      -28.8400       -3.1010        0.1000      -13.0157        0.1000        0.3198        0.0500        0.2872        0.0500        1.7675        0.0360        0.7768        0.0160      -18.4011        2.0000        0.0500
      -28.4200       -3.0819        0.0200      -12.9137        0.0200        1.5100        0.0500        1.4878        0.0500        1.7851        0.0360        0.7551        0.0160      -21.0962        2.0000        0.0500
      -28.0000       -3.0685        0.0100      -12.9055        0.0100        3.0023        0.0500        2.9775        0.0500        1.7387        0.0360        0.7378        0.0160      -20.1539        2.0000        0.0500
      -27.5800       -3.0423        0.0125      -12.8979        0.0125        2.3886        0.0500        2.4444        0.0500        1.7839        0.0360        0.7800        0.0160      -20.8159        2.0000        0.0500
      -27.1600       -2.9469        0.0500      -12.8801        0.0500        0.6104        0.0500        0.6226        0.0500        1.8228        0.0360        0.8457        0.0160      -20.7007        2.0000        0.0500
